Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
Scandinavian Airlines,6826,"Las Vegas, NV (LAS)",Scheduled,6:16 AM,6:16 AM,Term C - C107
Southwest Airlines,1981,"Fort Lauderdale, FL (FLL)",Scheduled,6:35 AM,,Term TA
Southwest Airlines,2012,"Chicago, IL (MDW)",Scheduled,6:00 AM,,Term TA
Spirit Airlines,521,"Fort Lauderdale, FL (FLL)",Scheduled,6:00 AM,6:00 AM,Term B - 56
TAM Brazilian Airlines,2073,"Miami, FL (MIA)",Scheduled,6:00 AM,,Term A - 35
TAP Portugal,8626,"Baltimore, MD (BWI)",Arrived,10:40 PM,11:21 PM,Term C - C87
United Airlines,100,"Denver, CO (DEN)",Scheduled,5:00 AM,5:00 AM,Term C - C73
United Airlines,241,"Atlanta, GA (ATL)",Scheduled,6:35 AM,6:35 AM,Term C - C131
United Airlines,510,"Seattle, WA (SEA)",Scheduled,6:00 AM,6:00 AM,Term C - C81
United Airlines,581,"Phoenix, AZ (PHX)",Scheduled,7:05 AM,7:05 AM,Term C - C128
United Airlines,1115,"Las Vegas, NV (LAS)",Scheduled,6:16 AM,6:16 AM,Term C - C107
United Airlines,1161,"Houston, TX (IAH)",Scheduled,5:30 AM,5:30 AM,Term C - C75
United Airlines,1168,"Washington, DC (IAD)",Scheduled,6:05 AM,6:05 AM,Term C - C109
United Airlines,1290,"Fort Lauderdale, FL (FLL)",Scheduled,6:03 AM,6:03 AM,Term C - C94
United Airlines,1406,"Raleigh/Durham, NC (RDU)",Cancelled,6:17 AM,,Term C
United Airlines,1483,"San Francisco, CA (SFO)",Scheduled,6:00 AM,6:00 AM,Term C - C134
United Airlines,1629,"Boston, MA (BOS)",Scheduled,6:35 AM,6:35 AM,Term C - C105
United Airlines,1741,"Chicago, IL (ORD)",Scheduled,5:25 AM,5:25 AM,Term C - C72
United Airlines,1747,"Savannah, GA (SAV)",Scheduled,6:50 AM,6:50 AM,Term C - C98
United Airlines,1753,"Los Angeles, CA (LAX)",Scheduled,6:30 AM,6:30 AM,Term C - C137
United Airlines,1784,"Orlando, FL (MCO)",Scheduled,6:50 AM,6:50 AM,Term C - C113
United Airlines,1797,"Tampa, FL (TPA)",Scheduled,7:10 AM,7:10 AM,Term C - C111
United Airlines,1848,"San Francisco, CA (SFO)",Scheduled,6:35 AM,6:35 AM,Term C - C102
United Airlines,1912,"Dallas-Fort Worth, TX (DFW)",Scheduled,6:05 AM,6:05 AM,Term C - C88
United Airlines,2001,"Chicago, IL (ORD)",Scheduled,6:35 AM,6:35 AM,Term C - C135
United Airlines,2037,"Houston, TX (IAH)",Cancelled,6:35 AM,,Term C
United Airlines,2041,"West Palm Beach, FL (PBI)",Scheduled,6:00 AM,6:00 AM,Term C - C97
United Airlines,2415,"Portland, OR (PDX)",Scheduled,6:50 AM,6:50 AM,Term C - C103
United Airlines,2915,"Stamford, CT (ZTF)",Scheduled,6:16 AM,,Term TN
United Airlines,3415,"Cincinnati, OH (CVG)",Scheduled,6:05 AM,6:05 AM,Term C - C84
United Airlines,3488,"Pittsburgh, PA (PIT)",Scheduled,6:10 AM,6:10 AM,Term C - C85
United Airlines,3599,"Minneapolis, MN (MSP)",Scheduled,7:05 AM,7:05 AM,Term C - C115
United Airlines,3623,"Kansas City, MO (MCI)",Scheduled,6:50 AM,6:50 AM,Term A - A22
United Airlines,3672,"Baltimore, MD (BWI)",Arrived,10:40 PM,11:21 PM,Term C - C87
United Airlines,3725,"Detroit, MI (DTW)",Scheduled,6:05 AM,6:05 AM,Term A - A24A
United Airlines,3781,"Greensboro, NC (GSO)",Scheduled,6:05 AM,6:05 AM,Term A - A20A
United Airlines,3811,"Memphis, TN (MEM)",Scheduled,6:30 AM,6:30 AM,Term A - A24
United Airlines,4106,"Norfolk, VA (ORF)",Scheduled,6:00 AM,6:00 AM,Term A - A20
United Airlines,4136,"Columbus, OH (CMH)",Scheduled,6:10 AM,6:10 AM,Term A - A27A
United Airlines,4327,"Portland, ME (PWM)",Scheduled,6:00 AM,6:00 AM,Term A - A26X
United Airlines,4393,"Washington, DC (DCA)",Scheduled,6:00 AM,6:00 AM,Term A - A26
United Airlines,4921,"Ithaca, NY (ITH)",Arrived,8:40 PM,11:21 PM,Term C - C130V
United Airlines,4931,"Albany, NY (ALB)",Departed,9:20 PM,1:00 AM,Term C - C130V
United Airlines,8505,Toronto (YYZ),Scheduled,6:00 AM,,Term A - A11
United Airlines,8507,Calgary (YYC),Scheduled,6:55 AM,,Term A - A12
United Airlines,8567,Toronto (YYZ),In Air,9:35 PM,11:45 PM,Term A - A11
Virgin Atlantic,4429,"Detroit, MI (DTW)",Scheduled,6:00 AM,6:00 AM,Term TB - 47
Virgin Atlantic,4453,"Atlanta, GA (ATL)",Scheduled,6:00 AM,6:00 AM,Term TB - 41
Virgin Atlantic,4469,"Minneapolis, MN (MSP)",Scheduled,6:15 AM,6:15 AM,Term TB - 40
Wiggins Airways,8303,"Hartford, CT (BDL)",Scheduled,3:45 AM,3:45 AM,
Wiggins Airways,8307,"Harrisburg, PA (MDT)",Scheduled,3:30 AM,3:30 AM,
Wiggins Airways,8413,"Albany, NY (ALB)",Scheduled,3:08 AM,,
United Airlines,2394,"San Diego, CA (SAN)",In Air,7:15 AM,7:07 AM,Term C - C95
United Airlines,754,"Miami, FL (MIA)",In Air,7:20 AM,7:11 AM,Term B - B41
