Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
Southwest Airlines,1230,"Chicago, IL (MDW)",Scheduled,6:00 AM,,Term B - B5
Southwest Airlines,1551,"Houston, TX (HOU)",Scheduled,6:20 AM,,Term B - B3
Southwest Airlines,1724,"Atlanta, GA (ATL)",Scheduled,6:30 AM,6:30 AM,Term B - B7
Spirit Airlines,705,"Fort Lauderdale, FL (FLL)",Scheduled,6:30 AM,6:30 AM,Term B - B6
United Airlines,628,"Chicago, IL (ORD)",Scheduled,7:10 AM,7:10 AM,Term B - C5
United Airlines,657,"Houston, TX (IAH)",Scheduled,5:45 AM,5:45 AM,Term B - C5
United Airlines,761,"Chicago, IL (ORD)",Scheduled,6:00 AM,6:00 AM,Term B - C12
United Airlines,1561,"Denver, CO (DEN)",Scheduled,6:20 AM,6:20 AM,Term B - C11
United Airlines,3475,"Cleveland, OH (CLE)",Scheduled,5:55 AM,5:55 AM,Term B - C10
United Airlines,6052,"Washington, DC (IAD)",Scheduled,6:05 AM,6:05 AM,Term B - C7
United Airlines,8431,Montreal (YUL),Scheduled,6:40 AM,,Term B - A1
United Airlines,8447,Toronto (YYZ),Scheduled,6:30 AM,,Term B - A7
Virgin Australia,6675,"Detroit, MI (DTW)",Scheduled,7:10 AM,,Term C - C18
WestJet Airlines,1201,Toronto (YYZ),Cancelled,6:00 AM,,Term D - D7
WestJet Airlines,1215,Toronto (YYZ),Arrived,6:30 PM,11:23 PM,Term D - D8
WestJet Airlines,6498,"Atlanta, GA (ATL)",Scheduled,6:00 AM,,Term D - D09
WestJet Airlines,6500,"Atlanta, GA (ATL)",Scheduled,7:00 AM,,Term D - D09
WestJet Airlines,6526,"Nashville, TN (BNA)",Scheduled,6:35 AM,,Term C - C26
WestJet Airlines,6548,"Boston, MA (BOS)",Scheduled,7:00 AM,,Term C - C32
WestJet Airlines,6550,"Boston, MA (BOS)",Scheduled,6:00 AM,,Term C - C32
WestJet Airlines,6564,"Charlottesville, VA (CHO)",Arrived,9:05 PM,11:28 PM,Term C - C20
WestJet Airlines,6580,"Cleveland, OH (CLE)",Scheduled,6:40 AM,,C13
WestJet Airlines,6588,"Charlotte, NC (CLT)",Scheduled,6:30 AM,,Term C - C15
WestJet Airlines,6608,"Cincinnati, OH (CVG)",Scheduled,6:10 AM,,C12
WestJet Airlines,6640,"Houston, TX (IAH)",Scheduled,6:30 AM,,Term D - D10
WestJet Airlines,6666,"Orlando, FL (MCO)",Scheduled,7:00 AM,,Term C - C21
WestJet Airlines,6760,"Raleigh/Durham, NC (RDU)",Scheduled,6:30 AM,,Term C - C29
WestJet Airlines,8936,"New York, NY (LGA)",Scheduled,6:05 AM,6:05 AM,
Air New Zealand,6684,"Houston, TX (IAH)",In Air,7:20 AM,7:15 AM,Term B - C7
Southwest Airlines,388,"St Louis, MO (STL)",In Air,7:20 AM,7:15 AM,Term B
United Airlines,1156,"Houston, TX (IAH)",In Air,7:20 AM,7:15 AM,Term B - C7
NetJets,648,"East Hampton, NY (HTO)",In Air,7:25 AM,7:33 AM,
American Airlines,4560,"Richmond, VA (RIC)",In Air,7:29 AM,7:20 AM,Term B - D2
Air Canada,703,Toronto (YYZ),In Air,7:30 AM,7:30 AM,Term B - A6
Alaska Airlines,6439,"Chicago, IL (ORD)",In Air,7:30 AM,7:26 AM,Term B - D1
American Airlines,289,"Chicago, IL (ORD)",In Air,7:30 AM,7:26 AM,Term B - D1
American Airlines,1365,"Miami, FL (MIA)",In Air,7:30 AM,7:23 AM,Term B - D8
British Airways,1633,"Chicago, IL (ORD)",In Air,7:30 AM,7:26 AM,Term B - D1
British Airways,6929,"Miami, FL (MIA)",In Air,7:30 AM,7:23 AM,Term B - D8
Delta Air Lines,6080,"Dallas-Fort Worth, TX (DFW)",In Air,7:30 AM,7:35 AM,Term C - C29
JetBlue Airways,461,"West Palm Beach, FL (PBI)",In Air,7:30 AM,7:18 AM,Term B - A5
Southwest Airlines,1670,"Nashville, TN (BNA)",In Air,7:30 AM,7:25 AM,Term B - B8
United Airlines,8229,Toronto (YYZ),In Air,7:30 AM,7:30 AM,Term B - A6
Delta Air Lines,1472,"Miami, FL (MIA)",In Air,7:40 AM,7:35 AM,Term D - D10
WestJet Airlines,6694,"Miami, FL (MIA)",In Air,7:40 AM,7:35 AM,Term D - D10
American Airlines,3775,"Louisville, KY (SDF)",In Air,7:45 AM,7:49 AM,Term B - C8
Delta Air Lines,3799,"Charlotte, NC (CLT)",In Air,7:45 AM,7:41 AM,Term C - C18
Delta Air Lines,7137,Toronto (YYZ),Departed,7:45 AM,8:04 AM,Term D - D8
WestJet Airlines,6594,"Charlotte, NC (CLT)",In Air,7:45 AM,7:41 AM,Term C - C18
WestJet Airlines,1203,Toronto (YYZ),Departed,7:45 AM,8:04 AM,Term D - D8
United Airlines,561,"Denver, CO (DEN)",In Air,7:50 AM,7:41 AM,Term B - C11
American Airlines,149,"Dallas-Fort Worth, TX (DFW)",In Air,7:52 AM,7:45 AM,Term B - D10
American Airlines,2053,"Charlotte, NC (CLT)",In Air,7:55 AM,7:50 AM,Term C - C38
AeroMexico,4412,"Atlanta, GA (ATL)",In Air,7:59 AM,7:49 AM,Term D - D01
American Airlines,3746,Montreal (YUL),In Air,7:59 AM,8:00 AM,Term B - C3
Delta Air Lines,1998,"Atlanta, GA (ATL)",In Air,7:59 AM,7:49 AM,Term D - D01
Delta Air Lines,6050,"Boston, MA (BOS)",In Air,7:59 AM,7:57 AM,Term C - C31
WestJet Airlines,6502,"Atlanta, GA (ATL)",In Air,7:59 AM,7:49 AM,Term D - D01
WestJet Airlines,6552,"Boston, MA (BOS)",In Air,7:59 AM,7:57 AM,Term C - C31
Alaska Airlines,6035,"Nashville, TN (BNA)",In Air,8:00 AM,7:57 AM,Term C - C35
All Nippon Airways,7749,"Chicago, IL (ORD)",In Air,8:00 AM,7:50 AM,Term B - C9
American Airlines,1410,"Miami, FL (MIA)",In Air,8:00 AM,7:58 AM,Term B - D3
American Airlines,4501,"Nashville, TN (BNA)",In Air,8:00 AM,7:57 AM,Term C - C35
American Airlines,4708,"Washington, DC (DCA)",In Air,8:00 AM,7:53 AM,Term C - C42
American Airlines,4762,"Boston, MA (BOS)",In Air,8:00 AM,7:54 AM,Term C - C41
British Airways,7773,"Miami, FL (MIA)",In Air,8:00 AM,7:58 AM,Term B - D3
Delta Air Lines,1879,"Fort Lauderdale, FL (FLL)",In Air,8:00 AM,8:00 AM,Term D - D05
Delta Air Lines,5463,"St Louis, MO (STL)",In Air,8:00 AM,7:58 AM,Term C - C32
SXL,23,"Fitchburg, MA (FIT)",In Air,8:00 AM,8:21 AM,
United Airlines,463,"Chicago, IL (ORD)",In Air,8:00 AM,7:50 AM,Term B - C9
WestJet Airlines,6624,"Fort Lauderdale, FL (FLL)",In Air,8:00 AM,8:00 AM,Term D - D05
Delta Air Lines,3445,"Jacksonville, FL (JAX)",Departed,8:05 AM,8:00 AM,Term D - C12
WestJet Airlines,6654,"Jacksonville, FL (JAX)",Departed,8:05 AM,8:00 AM,Term D - C12
American Airlines,3534,"Dayton, OH (DAY)",Departed,8:10 AM,8:03 AM,Term B - C2
Delta Air Lines,121,"Minneapolis, MN (MSP)",Departed,8:10 AM,8:15 AM,Term C - C34
Delta Air Lines,1965,"Denver, CO (DEN)",Departed,8:10 AM,8:05 AM,Term D - D04
Delta Air Lines,3849,"Norfolk, VA (ORF)",Departed,8:10 AM,8:08 AM,Term D - C13
WestJet Airlines,6716,"Norfolk, VA (ORF)",Departed,8:10 AM,8:08 AM,Term D - C13
American Airlines,3682,"Roanoke, VA (ROA)",Departed,8:12 AM,8:20 AM,Term B - D10
Delta Air Lines,3947,"Kansas City, MO (MCI)",Departed,8:13 AM,8:13 AM,Term C - C16
WestJet Airlines,6664,"Kansas City, MO (MCI)",Departed,8:13 AM,8:13 AM,Term C - C16
Delta Air Lines,3283,"Rochester, NY (ROC)",Departed,8:16 AM,8:10 AM,Term C - C24
Delta Air Lines,3485,"Cincinnati, OH (CVG)",Departed,8:22 AM,8:18 AM,Term D - D09
WestJet Airlines,6606,"Cincinnati, OH (CVG)",Departed,8:22 AM,8:18 AM,Term D - D09
Air New Zealand,6687,"Houston, TX (IAH)",Scheduled,8:30 AM,8:30 AM,Term B - C7
Alaska Airlines,4402,"Chicago, IL (ORD)",Departed,8:30 AM,8:24 AM,Term B - D7
American Airlines,1619,"Chicago, IL (ORD)",Departed,8:30 AM,8:24 AM,Term B - D7
American Airlines,4548,"Detroit, MI (DTW)",Departed,8:30 AM,8:29 AM,Term B - C4
British Airways,5107,"Chicago, IL (ORD)",Departed,8:30 AM,8:24 AM,Term B - D7
Delta Air Lines,2280,"Tampa, FL (TPA)",Departed,8:30 AM,8:26 AM,Term C - C20
Delta Air Lines,5390,"Greensboro, NC (GSO)",Scheduled,8:30 AM,8:45 AM,Term C - C17
Delta Air Lines,5445,"Richmond, VA (RIC)",Departed,8:30 AM,8:25 AM,Term C - C12
Etihad Airways,3151,"Chicago, IL (ORD)",Departed,8:30 AM,8:24 AM,Term B - D7
Japan Airlines,7659,"Chicago, IL (ORD)",Departed,8:30 AM,8:24 AM,Term B - D7
United Airlines,1401,"Houston, TX (IAH)",Scheduled,8:30 AM,8:30 AM,Term B - C7
WestJet Airlines,6810,"Tampa, FL (TPA)",Departed,8:30 AM,8:26 AM,Term C - C20
WestJet Airlines,6626,"Greensboro, NC (GSO)",Scheduled,8:30 AM,8:45 AM,Term C - C17
WestJet Airlines,6770,"Richmond, VA (RIC)",Departed,8:30 AM,8:25 AM,Term C - C12
Delta Air Lines,3423,"Columbus, OH (CMH)",Departed,8:33 AM,8:22 AM,Term C - C30
Delta Air Lines,5270,"Syracuse, NY (SYR)",Departed,8:33 AM,8:27 AM,Term C - C18
WestJet Airlines,6596,"Columbus, OH (CMH)",Departed,8:33 AM,8:22 AM,Term C - C30
Air Canada,705,Toronto (YYZ),Scheduled,8:35 AM,8:45 AM,Term B - A6
American Airlines,879,"Charlotte, NC (CLT)",Departed,8:35 AM,8:28 AM,Term C - C37
Delta Air Lines,2358,"West Palm Beach, FL (PBI)",Departed,8:35 AM,8:28 AM,Term D - D10
Delta Air Lines,5414,Montreal (YUL),Delayed,8:35 AM,9:05 AM,Term C - C29
United Airlines,8469,Toronto (YYZ),Scheduled,8:35 AM,8:45 AM,Term B - A6
United Airlines,4120,"Cleveland, OH (CLE)",Departed,8:35 AM,8:29 AM,Term B - C12
WestJet Airlines,6724,"West Palm Beach, FL (PBI)",Departed,8:35 AM,8:28 AM,Term D - D10
WestJet Airlines,6445,Montreal (YUL),Delayed,8:35 AM,9:05 AM,Term C - C29
Spirit Airlines,475,"Detroit, MI (DTW)",Scheduled,8:39 AM,8:39 AM,Term B - B6
Air Canada,7633,Montreal (YUL),Scheduled,8:40 AM,8:45 AM,Term B - A1
Delta Air Lines,3356,"Savannah, GA (SAV)",Scheduled,8:40 AM,,Term C - C23
United Airlines,8181,Montreal (YUL),Scheduled,8:40 AM,8:45 AM,Term B - A1
WestJet Airlines,6788,"Savannah, GA (SAV)",Scheduled,8:40 AM,,Term C - C23
American Airlines,1669,"Raleigh/Durham, NC (RDU)",Scheduled,8:44 AM,8:50 AM,Term C - C39
American Airlines,5881,"Indianapolis, IN (IND)",Scheduled,8:45 AM,8:45 AM,
Delta Air Lines,5881,"Indianapolis, IN (IND)",Scheduled,8:45 AM,,Term D - D01
Delta Air Lines,6099,"Houston, TX (IAH)",Scheduled,8:45 AM,,Term D - D11
WestJet Airlines,6652,"Indianapolis, IN (IND)",Scheduled,8:45 AM,,Term D - D01
American Airlines,5254,"Pittsburgh, PA (PIT)",Delayed,8:46 AM,9:05 AM,Term C - C43
Delta Air Lines,3458,"Milwaukee, WI (MKE)",Scheduled,8:55 AM,,Term C - C26
Southwest Airlines,154,"Denver, CO (DEN)",Scheduled,8:55 AM,,Term B - B7
WestJet Airlines,6702,"Milwaukee, WI (MKE)",Scheduled,8:55 AM,,Term C - C26
AeroMexico,4413,"Atlanta, GA (ATL)",Scheduled,8:59 AM,,Term D - D06
Delta Air Lines,2209,"Atlanta, GA (ATL)",Scheduled,8:59 AM,,Term D - D06
WestJet Airlines,7618,"Atlanta, GA (ATL)",Scheduled,8:59 AM,,Term D - D06
All Nippon Airways,7571,"Chicago, IL (ORD)",Scheduled,9:00 AM,9:00 AM,Term B - C14
American Airlines,3721,"Cleveland, OH (CLE)",Scheduled,9:00 AM,9:00 AM,Term B - D4
American Airlines,5894,"Fort Myers, FL (RSW)",Scheduled,9:00 AM,9:00 AM,
American Airlines,1114,"Dallas-Fort Worth, TX (DFW)",Scheduled,9:00 AM,9:00 AM,Term B - D5
American Airlines,2121,"Boston, MA (BOS)",Scheduled,9:00 AM,9:00 AM,Term C - C41
American Airlines,3772,"Columbus, OH (CMH)",Scheduled,9:00 AM,9:00 AM,Term B - C2
American Airlines,4565,"Washington, DC (DCA)",Scheduled,9:00 AM,9:00 AM,Term C - C42
American Airlines,4710,"Kansas City, MO (MCI)",Scheduled,9:00 AM,9:00 AM,Term B - C1
Delta Air Lines,3755,"Portland, ME (PWM)",Scheduled,9:00 AM,,Term C - C13
Delta Air Lines,5403,"Charlotte, NC (CLT)",Scheduled,9:00 AM,,Term C - C12
Delta Air Lines,5894,"Fort Myers, FL (RSW)",Scheduled,9:00 AM,,Term C - C28
Delta Air Lines,6076,"Boston, MA (BOS)",Scheduled,9:00 AM,,Term C - C32
Delta Air Lines,6137,"Washington, DC (DCA)",Scheduled,9:00 AM,,Term A - SH4
JetBlue Airways,632,"Boston, MA (BOS)",Scheduled,9:00 AM,9:00 AM,Term B - A3
United Airlines,519,"Chicago, IL (ORD)",Scheduled,9:00 AM,9:00 AM,Term B - C14
United Airlines,744,"Denver, CO (DEN)",Scheduled,9:00 AM,9:00 AM,Term B - C10
WestJet Airlines,6748,"Portland, ME (PWM)",Scheduled,9:00 AM,,Term C - C13
WestJet Airlines,6582,"Charlotte, NC (CLT)",Scheduled,9:00 AM,,Term C - C12
WestJet Airlines,6780,"Fort Myers, FL (RSW)",Scheduled,9:00 AM,,Term C - C28
WestJet Airlines,6532,"Boston, MA (BOS)",Scheduled,9:00 AM,,Term C - C32
American Airlines,3730,"Cincinnati, OH (CVG)",Scheduled,9:05 AM,9:05 AM,Term B - C3
American Airlines,4748,"Indianapolis, IN (IND)",Scheduled,9:10 AM,9:10 AM,Term B - D2
Delta Air Lines,925,"Orlando, FL (MCO)",Scheduled,9:10 AM,,Term D - D02
Frontier Airlines,1463,"Atlanta, GA (ATL)",Scheduled,9:10 AM,9:10 AM,Term B - C6
Southwest Airlines,1240,"Tampa, FL (TPA)",Scheduled,9:10 AM,,Term B - B5
WestJet Airlines,7611,"Orlando, FL (MCO)",Scheduled,9:10 AM,,Term D - D02
Delta Air Lines,5965,"Chicago, IL (ORD)",Scheduled,9:15 AM,,Term A - SH1
WestJet Airlines,8981,Toronto (YYZ),Scheduled,9:15 AM,9:15 AM,D7
China Southern Airlines,1085,"Detroit, MI (DTW)",Scheduled,9:20 AM,,Term C - C21
Delta Air Lines,955,"Detroit, MI (DTW)",Scheduled,9:20 AM,,Term C - C21
Virgin Australia,6793,"Detroit, MI (DTW)",Scheduled,9:20 AM,,Term C - C21
American Airlines,4614,"St Louis, MO (STL)",Scheduled,9:24 AM,9:24 AM,Term C - C38
American Airlines,3748,Toronto (YYZ),Scheduled,9:28 AM,9:28 AM,Term B - C4
Alaska Airlines,4773,"Chicago, IL (ORD)",Scheduled,9:30 AM,9:30 AM,Term B - D6
American Airlines,373,"Chicago, IL (ORD)",Scheduled,9:30 AM,9:30 AM,Term B - D6
American Airlines,3364,"Norfolk, VA (ORF)",Scheduled,9:30 AM,9:30 AM,Term B - C8
British Airways,5672,"Chicago, IL (ORD)",Scheduled,9:30 AM,9:30 AM,Term B - D6
Delta Air Lines,3930,"Raleigh/Durham, NC (RDU)",Scheduled,9:30 AM,,Term C - C20
Delta Air Lines,5376,"Pittsburgh, PA (PIT)",Scheduled,9:30 AM,9:45 AM,Term D - D01
Etihad Airways,3158,"Chicago, IL (ORD)",Scheduled,9:30 AM,9:30 AM,Term B - D6
Japan Airlines,7373,"Chicago, IL (ORD)",Scheduled,9:30 AM,9:30 AM,Term B - D6
JetBlue Airways,199,"Orlando, FL (MCO)",Scheduled,9:30 AM,9:30 AM,Term B - B4
WestJet Airlines,6754,"Raleigh/Durham, NC (RDU)",Scheduled,9:30 AM,,Term C - C20
WestJet Airlines,7586,"Pittsburgh, PA (PIT)",Scheduled,9:30 AM,9:45 AM,Term D - D01
American Airlines,4591,"Atlanta, GA (ATL)",Scheduled,9:32 AM,9:32 AM,Term C - C35
Delta Air Lines,6106,"Dallas-Fort Worth, TX (DFW)",Scheduled,9:35 AM,,Term C - C34
JetBlue Airways,971,"Fort Lauderdale, FL (FLL)",Scheduled,9:37 AM,9:37 AM,Term B - A5
Delta Air Lines,3644,"Charleston, SC (CHS)",Scheduled,9:40 AM,,Term C - C30
Delta Air Lines,7139,Toronto (YYZ),Scheduled,9:40 AM,9:40 AM,Term D - D8
WestJet Airlines,6566,"Charleston, SC (CHS)",Scheduled,9:40 AM,,Term C - C30
WestJet Airlines,1205,Toronto (YYZ),Scheduled,9:40 AM,9:40 AM,Term D - D8
Delta Air Lines,5885,"Louisville, KY (SDF)",Scheduled,9:45 AM,,Term D - D09
Southwest Airlines,1524,"Chicago, IL (MDW)",Scheduled,9:45 AM,,Term B - B8
Spirit Airlines,847,"Chicago, IL (ORD)",Scheduled,9:45 AM,9:45 AM,Term B - B6
WestJet Airlines,6794,"Louisville, KY (SDF)",Scheduled,9:45 AM,,Term D - D09
Delta Air Lines,5471,"Greenville, SC (GSP)",Scheduled,9:51 AM,,Term C - C12
WestJet Airlines,6634,"Greenville, SC (GSP)",Scheduled,9:51 AM,,Term C - C12
Delta Air Lines,3915,"New Orleans, LA (MSY)",Scheduled,9:55 AM,,Term D - D11
WestJet Airlines,6708,"New Orleans, LA (MSY)",Scheduled,9:55 AM,,Term D - D11
AeroMexico,5157,"Atlanta, GA (ATL)",Scheduled,9:59 AM,,Term D - D04
Alaska Airlines,4150,"Nashville, TN (BNA)",Scheduled,9:59 AM,9:59 AM,Term C - C44
American Airlines,5174,"Nashville, TN (BNA)",Scheduled,9:59 AM,9:59 AM,Term C - C44
Delta Air Lines,949,"Atlanta, GA (ATL)",Scheduled,9:59 AM,,Term D - D04
United Airlines,1953,"Chicago, IL (ORD)",Scheduled,9:59 AM,9:59 AM,Term B - C9
WestJet Airlines,6494,"Atlanta, GA (ATL)",Scheduled,9:59 AM,,Term D - D04
American Airlines,2136,"Boston, MA (BOS)",Delayed,10:00 AM,10:20 AM,Term C - C41
American Airlines,2125,"Washington, DC (DCA)",Scheduled,10:00 AM,,Term C - C42
Delta Air Lines,1496,"Minneapolis, MN (MSP)",Scheduled,10:00 AM,,Term C - C16
Delta Air Lines,2666,"Boston, MA (BOS)",Scheduled,10:00 AM,,Term C - C31
Delta Air Lines,6139,"Washington, DC (DCA)",Delayed,10:00 AM,10:45 AM,Term A - SH5
Southwest Airlines,1236,"Atlanta, GA (ATL)",Scheduled,10:00 AM,,Term B - B3
WestJet Airlines,6536,"Boston, MA (BOS)",Scheduled,10:00 AM,,Term C - C31
Air Canada,707,Toronto (YYZ),Scheduled,10:10 AM,,Term B - A6
American Airlines,644,"Charlotte, NC (CLT)",Scheduled,10:10 AM,,Term C - C37
Delta Air Lines,5454,"St Louis, MO (STL)",Scheduled,10:10 AM,,Term C - C24
