Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
Delta Air Lines,2175,"Miami, FL (MIA)",Scheduled,11:20 AM,,Term 2 - C63
Emirates,6129,"Las Vegas, NV (LAS)",Scheduled,11:20 AM,11:20 AM,Term 5 - 16
Emirates,204,Dubai (DXB),Scheduled,11:20 AM,11:20 AM,Term 4
GOL Transportes Aereos,8078,"Miami, FL (MIA)",Scheduled,11:20 AM,,Term 2 - C63
Hawaiian Airlines,2321,"Las Vegas, NV (LAS)",Scheduled,11:20 AM,11:20 AM,Term 5 - 16
JetBlue Airways,411,"Las Vegas, NV (LAS)",Scheduled,11:20 AM,11:20 AM,Term 5 - 16
JetBlue Airways,5008,Dubai (DXB),Scheduled,11:20 AM,11:20 AM,Term 4
Virgin Atlantic,4831,"Miami, FL (MIA)",Scheduled,11:20 AM,,Term 2 - C63
Air France,7926,"Salt Lake City, UT (SLC)",Scheduled,11:25 AM,,Term 4 - B24
Delta Air Lines,433,"Seattle, WA (SEA)",Scheduled,11:25 AM,,Term 4 - B28
Delta Air Lines,456,"Salt Lake City, UT (SLC)",Scheduled,11:25 AM,,Term 4 - B24
Delta Air Lines,2634,"Orlando, FL (MCO)",Scheduled,11:25 AM,,Term 2 - C66
Delta Air Lines,2785,"Minneapolis, MN (MSP)",Scheduled,11:25 AM,,Term 2 - C62
Delta Air Lines,4051,"Boston, MA (BOS)",Scheduled,11:25 AM,,Term 4 - B46
GOL Transportes Aereos,8154,"Seattle, WA (SEA)",Scheduled,11:25 AM,,Term 4 - B28
GOL Transportes Aereos,8076,"Orlando, FL (MCO)",Scheduled,11:25 AM,,Term 2 - C66
GOL Transportes Aereos,8216,"Minneapolis, MN (MSP)",Scheduled,11:25 AM,,Term 2 - C62
GOL Transportes Aereos,8202,"Boston, MA (BOS)",Scheduled,11:25 AM,,Term 4 - B46
Jet Airways,8422,"Seattle, WA (SEA)",Scheduled,11:25 AM,,Term 4 - B28
JetBlue Airways,855,Providenciales (PLS),Scheduled,11:25 AM,11:25 AM,Term 5 - 25
KLM Royal Dutch Airlines,6601,"Minneapolis, MN (MSP)",Scheduled,11:25 AM,,Term 2 - C62
Virgin Atlantic,4749,"Seattle, WA (SEA)",Scheduled,11:25 AM,,Term 4 - B28
Virgin Atlantic,3164,"Salt Lake City, UT (SLC)",Scheduled,11:25 AM,,Term 4 - B24
Virgin Atlantic,4825,"Orlando, FL (MCO)",Scheduled,11:25 AM,,Term 2 - C66
Virgin Atlantic,3154,"Minneapolis, MN (MSP)",Scheduled,11:25 AM,,Term 2 - C62
Virgin Atlantic,5989,"Boston, MA (BOS)",Scheduled,11:25 AM,,Term 4 - B46
WestJet Airlines,6866,"Orlando, FL (MCO)",Scheduled,11:25 AM,,Term 2 - C66
WestJet Airlines,7653,"Boston, MA (BOS)",Scheduled,11:25 AM,,Term 4 - B46
Emirates,6815,San Juan (SJU),Scheduled,11:27 AM,11:27 AM,Term 5 - 04
JetBlue Airways,3,San Juan (SJU),Scheduled,11:27 AM,11:27 AM,Term 5 - 04
Qatar Airways,4159,San Juan (SJU),Scheduled,11:27 AM,11:27 AM,Term 5 - 04
Delta Air Lines,4145,"Raleigh/Durham, NC (RDU)",Scheduled,11:29 AM,,Term 4 - B51
Virgin Atlantic,3381,"Raleigh/Durham, NC (RDU)",Scheduled,11:29 AM,,Term 4 - B51
WestJet Airlines,6884,"Raleigh/Durham, NC (RDU)",Scheduled,11:29 AM,,Term 4 - B51
Alaska Airlines,1409,"Los Angeles, CA (LAX)",Scheduled,11:30 AM,,Term T4 - A2
American Airlines,8495,Tokyo (NRT),Scheduled,11:30 AM,11:30 AM,Term 1 - 2
China Airlines,9665,"Los Angeles, CA (LAX)",Scheduled,11:30 AM,,Term T4 - A2
China Southern Airlines,1919,"Los Angeles, CA (LAX)",Scheduled,11:30 AM,,Term T4 - A2
Hawaiian Airlines,2523,"Los Angeles, CA (LAX)",Scheduled,11:30 AM,,Term T4 - A2
Japan Airlines,3,Tokyo (NRT),Scheduled,11:30 AM,11:30 AM,Term 1 - 2
LAN Airlines,7465,Tokyo (NRT),Scheduled,11:30 AM,11:30 AM,Term 1 - 2
Malaysia Airlines,9103,Tokyo (NRT),Scheduled,11:30 AM,11:30 AM,Term 1 - 2
TAM Brazilian Airlines,8336,Tokyo (NRT),Scheduled,11:30 AM,11:30 AM,Term 1 - 2
Virgin America,409,"Los Angeles, CA (LAX)",Scheduled,11:30 AM,,Term T4 - A2
Hawaiian Airlines,2092,"Nantucket, MA (ACK)",Scheduled,11:34 AM,11:34 AM,Term 5 - 06
JetBlue Airways,1591,"Nantucket, MA (ACK)",Scheduled,11:34 AM,11:34 AM,Term 5 - 06
Qatar Airways,4009,"Nantucket, MA (ACK)",Scheduled,11:34 AM,11:34 AM,Term 5 - 06
Sun Country Airlines,244,"Minneapolis, MN (MSP)",Scheduled,11:35 AM,11:35 AM,Term 4
Air China,1078,Shanghai (PVG),Scheduled,11:40 AM,,
Delta Air Lines,4001,Quebec (YQB),Scheduled,11:40 AM,,Term 2 - C65
Korean Air,7495,Quebec (YQB),Scheduled,11:40 AM,,Term 2 - C65
Virgin Atlantic,4861,Quebec (YQB),Scheduled,11:40 AM,,Term 2 - C65
WestJet Airlines,6469,Quebec (YQB),Scheduled,11:40 AM,,Term 2 - C65
AeroMexico,5717,"Atlanta, GA (ATL)",Scheduled,11:45 AM,,Term 4 - B34
Air France,6861,"Atlanta, GA (ATL)",Scheduled,11:45 AM,,Term 4 - B34
Delta Air Lines,430,"San Francisco, CA (SFO)",Scheduled,11:45 AM,,Term 4 - B38
Delta Air Lines,488,"Atlanta, GA (ATL)",Scheduled,11:45 AM,,Term 4 - B34
