Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
Virgin Atlantic,4697,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
WestJet Airlines,7691,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
Delta Air Lines,458,"Los Angeles, CA (LAX)",Scheduled,1:45 PM,,Term 4 - B35
Emirates,6707,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
Etihad Airways,8286,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
Hawaiian Airlines,2064,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
Japan Airlines,5822,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
JetBlue Airways,34,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
KLM Royal Dutch Airlines,6362,"Los Angeles, CA (LAX)",Scheduled,1:45 PM,,Term 4 - B35
Qatar Airways,4063,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
Turkish Airlines,8931,"Burlington, VT (BTV)",Scheduled,1:45 PM,1:45 PM,Term 5 - 24
Virgin Atlantic,4741,"Los Angeles, CA (LAX)",Scheduled,1:45 PM,,Term 4 - B35
Virgin Australia,6540,"Los Angeles, CA (LAX)",Scheduled,1:45 PM,,Term 4 - B35
Aer Lingus,5008,"Boston, MA (BOS)",Scheduled,1:49 PM,1:49 PM,Term 5 - 02
Etihad Airways,8378,"Boston, MA (BOS)",Scheduled,1:49 PM,1:49 PM,Term 5 - 02
Hawaiian Airlines,2002,"Boston, MA (BOS)",Scheduled,1:49 PM,1:49 PM,Term 5 - 02
JetBlue Airways,118,"Boston, MA (BOS)",Scheduled,1:49 PM,1:49 PM,Term 5 - 02
Singapore Airlines,1450,"Boston, MA (BOS)",Scheduled,1:49 PM,1:49 PM,Term 5 - 02
TAP Portugal,8000,"Boston, MA (BOS)",Scheduled,1:49 PM,1:49 PM,Term 5 - 02
Asiana Airlines,221,Seoul (ICN),Scheduled,1:50 PM,1:50 PM,Term 4
Copa Airlines,8005,Seoul (ICN),Scheduled,1:50 PM,1:50 PM,Term 4
El Al Israel Airlines,8672,"Long Beach, CA (LGB)",Scheduled,1:50 PM,1:50 PM,Term 5 - 06
Emirates,6785,"Long Beach, CA (LGB)",Scheduled,1:50 PM,1:50 PM,Term 5 - 06
Etihad Airways,8300,"Long Beach, CA (LGB)",Scheduled,1:50 PM,1:50 PM,Term 5 - 06
JetBlue Airways,213,"Long Beach, CA (LGB)",Scheduled,1:50 PM,1:50 PM,Term 5 - 06
Qatar Airways,4095,"Long Beach, CA (LGB)",Scheduled,1:50 PM,1:50 PM,Term 5 - 06
Singapore Airlines,5721,Seoul (ICN),Scheduled,1:50 PM,1:50 PM,Term 4
Thai Airways,6746,Seoul (ICN),Scheduled,1:50 PM,1:50 PM,Term 4
Turkish Airlines,8959,"Long Beach, CA (LGB)",Scheduled,1:50 PM,1:50 PM,Term 5 - 06
United Airlines,7294,Seoul (ICN),Scheduled,1:50 PM,1:50 PM,Term 4
Emirates,6803,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Etihad Airways,8299,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Hawaiian Airlines,2028,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Japan Airlines,5842,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
JetBlue Airways,686,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Qatar Airways,4181,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Singapore Airlines,1466,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Turkish Airlines,8985,"Rochester, NY (ROC)",Scheduled,1:55 PM,1:55 PM,Term 5 - 21
Delta Air Lines,2810,"Bangor, ME (BGR)",Scheduled,1:56 PM,,Term 2 - C62
KLM Royal Dutch Airlines,6626,"Bangor, ME (BGR)",Scheduled,1:56 PM,,Term 2 - C62
Air France,2367,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
Air France,5801,"Washington, DC (IAD)",Scheduled,1:59 PM,,Term 4 - B42
Alitalia,3405,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
Delta Air Lines,4045,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
Delta Air Lines,4156,"Washington, DC (IAD)",Scheduled,1:59 PM,,Term 4 - B42
Emirates,6833,Cancun (CUN),Scheduled,1:59 PM,1:59 PM,Term 5 - 14
Etihad Airways,8359,San Juan (SJU),Scheduled,1:59 PM,1:59 PM,Term 5 - 09
Japan Airlines,5482,San Juan (SJU),Scheduled,1:59 PM,1:59 PM,Term 5 - 09
JetBlue Airways,351,Cancun (CUN),Scheduled,1:59 PM,1:59 PM,Term 5 - 14
JetBlue Airways,803,San Juan (SJU),Scheduled,1:59 PM,1:59 PM,Term 5 - 09
JetBlue Airways,1221,Nassau (NAS),Scheduled,1:59 PM,1:59 PM,Term 5 - 05
KLM Royal Dutch Airlines,5552,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
KLM Royal Dutch Airlines,7623,"Washington, DC (IAD)",Scheduled,1:59 PM,,Term 4 - B42
Korean Air,7359,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
Korean Air,7499,"Washington, DC (IAD)",Scheduled,1:59 PM,,Term 4 - B42
Qatar Airways,4161,San Juan (SJU),Scheduled,1:59 PM,1:59 PM,Term 5 - 09
Turkish Airlines,8991,San Juan (SJU),Scheduled,1:59 PM,1:59 PM,Term 5 - 09
Virgin Atlantic,4641,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
Virgin Atlantic,5849,"Washington, DC (IAD)",Scheduled,1:59 PM,,Term 4 - B42
WestJet Airlines,6878,"Raleigh/Durham, NC (RDU)",Scheduled,1:59 PM,,Term 4 - B55
WestJet Airlines,6856,"Washington, DC (IAD)",Scheduled,1:59 PM,,Term 4 - B42
Aerolineas Argentinas,7860,Seoul (ICN),Scheduled,2:00 PM,2:00 PM,Term 1
Delta Air Lines,1000,Seoul (ICN),Scheduled,2:00 PM,2:00 PM,Term 1
Korean Air,82,Seoul (ICN),Scheduled,2:00 PM,2:00 PM,Term 1
Delta Air Lines,452,Santiago (STI),Scheduled,2:05 PM,,Term 4 - B24
KLM Royal Dutch Airlines,7614,Santiago (STI),Scheduled,2:05 PM,,Term 4 - B24
Icelandair,612,Reykjavik (KEF),Scheduled,2:10 PM,2:10 PM,Term 7
JetBlue Airways,5612,Reykjavik (KEF),Scheduled,2:10 PM,2:10 PM,Term 7
Aerolineas Argentinas,7032,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
Air France,3524,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
Alitalia,3152,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
Delta Air Lines,4020,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
KLM Royal Dutch Airlines,5612,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
Korean Air,7511,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
Virgin Atlantic,4629,"Chicago, IL (ORD)",Scheduled,2:20 PM,,Term 2 - C65
Aeroflot Airlines,101,Moscow (SVO),Scheduled,2:25 PM,2:25 PM,Term 1
Aer Lingus,5080,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Emirates,6827,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Etihad Airways,8301,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Hawaiian Airlines,2034,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
JetBlue Airways,2402,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Qatar Airways,4151,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Singapore Airlines,1468,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Turkish Airlines,8507,"Syracuse, NY (SYR)",Scheduled,2:27 PM,2:27 PM,Term 5 - 01
Emirates,6737,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Etihad Airways,8293,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Hawaiian Airlines,2096,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Japan Airlines,5832,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
JetBlue Airways,477,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Qatar Airways,4093,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Singapore Airlines,1465,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Turkish Airlines,8955,"Jacksonville, FL (JAX)",Scheduled,2:29 PM,2:29 PM,Term 5 - 30
Volaris,881,Mexico City (MEX),Scheduled,2:29 PM,,Term 4
Air France,9172,"Savannah, GA (SAV)",Scheduled,2:30 PM,,Term 4 - B53
Air France,5768,"Charleston, SC (CHS)",Scheduled,2:30 PM,,Term 4 - B45
Air Tahiti Nui,1197,"Los Angeles, CA (LAX)",Scheduled,2:30 PM,,Term 8 - 42
Alitalia,5991,"Savannah, GA (SAV)",Scheduled,2:30 PM,,Term 4 - B53
Alitalia,3208,"Charleston, SC (CHS)",Scheduled,2:30 PM,,Term 4 - B45
American Airlines,23,"Los Angeles, CA (LAX)",Scheduled,2:30 PM,,Term 8 - 42
British Airways,8684,"Los Angeles, CA (LAX)",Scheduled,2:30 PM,,Term 8 - 42
Delta Air Lines,4029,"Savannah, GA (SAV)",Scheduled,2:30 PM,,Term 4 - B53
Delta Air Lines,4243,"Charleston, SC (CHS)",Scheduled,2:30 PM,,Term 4 - B45
Etihad Airways,3330,"Los Angeles, CA (LAX)",Scheduled,2:30 PM,,Term 8 - 42
Gulf Air,4333,"Los Angeles, CA (LAX)",Scheduled,2:30 PM,,Term 8 - 42
KLM Royal Dutch Airlines,5624,"Savannah, GA (SAV)",Scheduled,2:30 PM,,Term 4 - B53
Korean Air,7369,"Savannah, GA (SAV)",Scheduled,2:30 PM,,Term 4 - B53
Korean Air,7315,"Charleston, SC (CHS)",Scheduled,2:30 PM,,Term 4 - B45
Qantas Airways,3112,"Los Angeles, CA (LAX)",Scheduled,2:30 PM,,Term 8 - 42
Virgin Atlantic,2492,"Savannah, GA (SAV)",Scheduled,2:30 PM,,Term 4 - B53
Virgin Atlantic,4695,"Charleston, SC (CHS)",Scheduled,2:30 PM,,Term 4 - B45
